;bld_name;Techno;latitude;longitude;bld_azimut;cll_azimut;tilt;row_dist;N_panel;ratio;cll_layout;cll_alignment;Optimal tilt or max4dist;el cover ratio;el coverage;el production;el demand;th cover ratio;th coverage;th production;th demand;spec_prod_e;spec_prod_th;ICPe;ICPth
6;1.0;pv_1;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;176.0;0.7333333333333333;east-west;short;tilt;0.43722223792468384;18250.54111900651;97353.46025808455;41742.023931889664;0.0;0.0;0.0;61934.38989587;252.8661305404794;0.0;110.55869549026364;0.0
4;1.0;solarCollector_1;46.5098019;6.6617476;60.0;60.0;20.0;0.6;162.0;0.675;east-west;long;tilt;0.0;0.0;0.0;21097.227299933;0.33433683092036176;20706.94764277125;304024.77347793046;61934.38989587;0.0;857.9182320364881;0.0;286.833662887879
8;1.0;pvt_1;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;176.0;0.7333333333333333;east-west;short;tilt;0.4572188076521101;16725.441086053557;97353.46025808455;36580.8247739005;0.3893990402263617;24117.19198245705;389413.8410323382;61934.38989587;252.8661305404794;1011.4645221619174;115.6151507013208;393.8633141528662
21;1.0;pv_2;46.5098019;6.6617476;60.0;60.0;0.0;0.6;135.0;0.5625;portrait;long;tilt;0.41601930166511036;17365.48764623306;77386.12620039852;41742.023931889664;0.0;0.0;0.0;61934.38989587;262.0482580330955;0.0;109.01713330948705;0.0
22;1.0;solarCollector_2;46.5098019;6.6617476;60.0;60.0;0.0;0.6;135.0;0.5625;portrait;long;tilt;0.0;0.0;0.0;21097.227299933;0.32768883592547515;20295.208128732153;261393.6182687687;61934.38989587;0.0;885.1424110688464;0.0;290.05128631141866
23;1.0;pvt_2;46.5098019;6.6617476;60.0;60.0;0.0;0.6;135.0;0.5625;portrait;long;tilt;0.4369060174973243;15982.382468732325;77386.12620039852;36580.8247739005;0.3790867265179184;23478.5051245098;309544.50480159407;61934.38989587;262.0482580330955;1048.193032132382;114.49046080935098;397.356065309956
45;2.0;pv_1;46.5098019;6.6617476;180.0;-90.0;20.0;0.6;286.0;0.7266260162601627;east-west;south;tilt;0.3823152689059256;34071.223764914525;156558.99432328233;89118.13504706834;0.0;0.0;0.0;173641.07911226503;254.98249747856136;0.0;97.48370208982068;0.0
46;2.0;solarCollector_1;46.5098019;6.6617476;180.0;-90.0;20.0;0.6;286.0;0.7266260162601627;east-west;south;tilt;0.0;0.0;0.0;31237.77534298;0.30099435096591765;52264.98390841777;527690.2938576058;173641.07911226503;0.0;859.4318685081046;0.0;258.68413746102283
47;2.0;pvt_1;46.5098019;6.6617476;180.0;-90.0;20.0;0.6;286.0;0.7266260162601627;east-west;south;tilt;0.40629218792642774;30328.917576660588;156558.99432328233;74648.04512104626;0.3470391059092154;60260.24484423179;626235.9772931293;173641.07911226503;254.98249747856136;1019.9299899142454;103.59739678350954;353.9555917898348
54;2.0;pv_2;46.5098019;6.6617476;180.0;0.0;0.0;0.6;225.0;0.5716463414634146;portrait;south;tilt;0.36042600506345057;32120.493393719924;126580.09415280052;89118.13504706834;0.0;0.0;0.0;173641.07911226503;262.0482580330956;0.0;94.4490067767049;0.0
55;2.0;solarCollector_2;46.5098019;6.6617476;180.0;0.0;0.0;0.6;225.0;0.5716463414634146;portrait;south;tilt;0.0;0.0;0.0;31237.77534298;0.2883528495141139;50069.8999547273;427560.21571256197;173641.07911226503;0.0;885.1424110688463;0.0;255.23333645749497
56;2.0;pvt_2;46.5098019;6.6617476;180.0;0.0;0.0;0.6;225.0;0.5716463414634146;portrait;south;tilt;0.3858657582354947;28804.124531429938;126580.09415280052;74648.04512104626;0.3345997193275791;58100.25633470184;506320.3766112021;173641.07911226503;262.0482580330956;1048.193032132382;101.11544978023099;350.72509435261924
93;3.0;pv_1;46.5098019;6.6617476;80.0;80.0;20.0;0.6;270.0;0.6859756097560976;east-west;long;tilt;0.3392997976164741;63874.4321579963;147816.54896709227;188253.67007791868;0.0;0.0;0.0;339069.244348379;255.01027251127556;0.0;86.52493385319771;0.0
94;3.0;solarCollector_1;46.5098019;6.6617476;80.0;80.0;20.0;0.6;270.0;0.6859756097560976;east-west;long;tilt;0.0;0.0;0.0;75230.588628459;0.3075921484870158;104295.03735498685;498227.99070950085;339069.244348379;0.0;859.5333646428207;0.0;264.38571432675883
95;3.0;pvt_1;46.5098019;6.6617476;80.0;80.0;20.0;0.6;270.0;0.6859756097560976;east-west;long;tilt;0.3643876925773742;58301.26549457675;147816.54896709227;159997.89971555377;0.3487580352887287;118253.12348577453;591266.1958683691;339069.244348379;255.01027251127556;1020.0410900451022;92.9226047839111;355.747526477903
111;3.0;pv_2;46.5098019;6.6617476;80.0;80.0;0.0;0.6;225.0;0.5716463414634146;portrait;long;tilt;0.3156758730539275;59427.141657453016;126580.09415280052;188253.67007791868;0.0;0.0;0.0;339069.244348379;262.0482580330956;0.0;82.72231263685832;0.0
112;3.0;solarCollector_2;46.5098019;6.6617476;80.0;80.0;0.0;0.6;225.0;0.5716463414634146;portrait;long;tilt;0.0;0.0;0.0;75230.588628459;0.2913681022498388;98793.96225707408;427560.21571256197;339069.244348379;0.0;885.1424110688463;0.0;257.90226453397645
113;3.0;pvt_2;46.5098019;6.6617476;80.0;80.0;0.0;0.6;225.0;0.5716463414634146;portrait;long;tilt;0.3411604135374763;54584.94963208598;126580.09415280052;159997.89971555377;0.33262764698908415;112783.80491396814;506320.3766112021;339069.244348379;262.0482580330956;1048.193032132382;89.40049207734617;348.6579818685478
141;4.0;pv_1;46.5098019;6.6617476;55.0;-35.0;20.0;0.6;286.0;0.7266260162601627;east-west;short;tilt;0.4524988143127074;23195.55942282993;155384.7570929279;51261.03912130967;0.0;0.0;0.0;75688.67376398899;253.07005582727032;0.0;114.51390019989049;0.0
139;4.0;solarCollector_1;46.5098019;6.6617476;55.0;55.0;20.0;0.6;270.0;0.6859756097560976;east-west;long;tilt;0.0;0.0;0.0;26031.48119998;0.3437745046714223;26019.83633245219;496873.41498098016;75688.67376398899;0.0;857.1964766009809;0.0;294.68229414959063
143;4.0;pvt_1;46.5098019;6.6617476;55.0;-35.0;20.0;0.6;286.0;0.7266260162601627;east-west;short;tilt;0.4710754456825493;21176.56053968053;155384.7570929279;44953.64964097725;0.40189378400777875;30418.807505539822;621539.0283717116;75688.67376398899;253.07005582727032;1012.2802233090813;119.21508933773899;406.829129421926
